,beds,full_baths,sqft,year_built,list_price,price_per_sqft
491,2.0,2.0,1007.0,2010.0,1269999.0,1261.0
494,0.0,1.0,457.0,2020.0,448000.0,980.0
496,3.0,3.0,2565.0,2021.0,6650000.0,2593.0
497,8.0,2.0,2400.0,1925.0,749777.0,312.0
499,0.0,1.0,437.0,2011.0,398000.0,911.0
500,3.0,1.0,1050.0,1919.0,639000.0,609.0
501,6.0,3.0,2850.0,1920.0,1299000.0,456.0
502,1.0,1.0,648.0,2022.0,598000.0,923.0
503,1.0,1.0,800.0,1962.0,250000.0,313.0
504,0.0,1.0,637.0,1975.0,245000.0,385.0
506,4.0,1.0,1836.0,1931.0,1299000.0,708.0
507,2.0,2.0,853.0,2022.0,898000.0,1053.0
508,5.0,3.0,2400.0,1930.0,799000.0,333.0
509,4.0,1.0,2755.0,2023.0,1299900.0,472.0
510,1.0,1.0,677.0,1931.0,379000.0,560.0
511,1.0,1.0,1242.0,1986.0,1375000.0,1107.0
512,2.0,2.0,1490.0,1986.0,3695000.0,2480.0
513,3.0,2.0,1792.0,1900.0,2450000.0,1367.0
514,1.0,1.0,700.0,1963.0,275000.0,393.0
516,1.0,1.0,613.0,1964.0,285000.0,465.0
517,7.0,4.0,3116.0,1931.0,1928000.0,619.0
518,2.0,2.0,1127.0,1988.0,699999.0,621.0
519,6.0,7.0,9678.0,2024.0,85000000.0,8783.0
521,4.0,3.0,3800.0,2019.0,4950000.0,1303.0
522,4.0,5.0,4878.0,2024.0,35000000.0,7175.0
523,2.0,2.0,1988.0,1955.0,1100000.0,553.0
524,3.0,2.0,1794.0,1920.0,619999.0,346.0
526,5.0,5.0,5086.0,2013.0,22500000.0,4424.0
528,4.0,3.0,2487.0,2019.0,4600000.0,1850.0
529,4.0,3.0,4100.0,1906.0,4750000.0,1159.0
530,2.0,2.0,1400.0,1926.0,850000.0,607.0
533,1.0,1.0,2164.0,1920.0,3080000.0,1423.0
535,2.0,2.0,1490.0,1987.0,3695000.0,2480.0
537,3.0,1.0,2754.0,1970.0,1299000.0,472.0
538,2.0,2.0,1127.0,1988.0,699999.0,621.0
539,3.0,2.0,1300.0,1921.0,1225000.0,942.0
540,3.0,2.0,2223.0,1906.0,6995000.0,3147.0
541,8.0,5.0,1748.0,1920.0,875000.0,501.0
542,2.0,1.0,600.0,1940.0,120000.0,200.0
543,3.0,1.0,1652.0,2002.0,800000.0,484.0
550,3.0,1.0,1296.0,1940.0,619900.0,478.0
553,3.0,1.0,1148.0,2008.0,499000.0,435.0
554,4.0,3.0,1950.0,1926.0,1390000.0,713.0
556,5.0,2.0,1592.0,2005.0,1499999.0,942.0
557,3.0,2.0,1600.0,1940.0,749000.0,468.0
558,4.0,2.0,2400.0,1910.0,1499500.0,625.0
559,1.0,1.0,603.0,1920.0,425000.0,705.0
560,1.0,2.0,1427.0,1985.0,2400000.0,1682.0
561,9.0,4.0,2760.0,1960.0,1199999.0,435.0
562,3.0,1.0,3080.0,1920.0,995000.0,323.0
563,5.0,3.0,2200.0,1950.0,899999.0,409.0
564,1.0,1.0,595.0,2023.0,679000.0,1141.0
565,3.0,1.0,1376.0,1930.0,1150000.0,836.0
567,6.0,6.0,3920.0,1988.0,8250000.0,2105.0
568,2.0,2.0,1335.0,1988.0,2750000.0,2060.0
571,1.0,1.0,670.0,2012.0,999000.0,1491.0
572,2.0,2.0,1728.0,2014.0,4995000.0,2891.0
573,10.0,5.0,3850.0,1930.0,3000000.0,779.0
574,5.0,2.0,2205.0,1992.0,875000.0,397.0
577,3.0,1.0,1080.0,1925.0,588000.0,544.0
579,4.0,2.0,1464.0,1930.0,705999.0,482.0
581,1.0,1.0,630.0,1987.0,415000.0,659.0
582,2.0,2.0,1412.0,2002.0,2800000.0,1983.0
583,5.0,2.0,2040.0,1920.0,910000.0,446.0
584,3.0,2.0,840.0,1945.0,770000.0,917.0
585,2.0,1.0,950.0,1928.0,850000.0,895.0
586,2.0,1.0,700.0,1952.0,299000.0,427.0
587,4.0,3.0,2078.0,1910.0,1775000.0,854.0
588,2.0,1.0,1500.0,1899.0,2025000.0,1350.0
591,4.0,2.0,1260.0,1915.0,1388000.0,1102.0
592,2.0,1.0,810.0,1952.0,279000.0,344.0
593,1.0,1.0,800.0,1949.0,297000.0,371.0
594,4.0,3.0,2160.0,1930.0,1699999.0,787.0
595,1.0,1.0,560.0,1971.0,359000.0,641.0
597,2.0,1.0,745.0,1917.0,335000.0,450.0
600,4.0,2.0,1200.0,1925.0,750000.0,625.0
601,0.0,1.0,535.0,1931.0,1800000.0,3364.0
603,2.0,2.0,1461.0,1931.0,5150000.0,3525.0
605,3.0,3.0,2791.0,1907.0,15500000.0,5554.0
606,1.0,1.0,995.0,1931.0,3325000.0,3342.0
609,2.0,2.0,1050.0,1905.0,2300000.0,2190.0
610,4.0,5.0,3006.0,2020.0,8300000.0,2761.0
613,2.0,2.0,1300.0,1952.0,899000.0,692.0
614,3.0,1.0,2500.0,1975.0,718000.0,287.0
616,1.0,1.0,750.0,1975.0,709900.0,947.0
619,2.0,6.0,5520.0,1930.0,1350000.0,245.0
621,7.0,3.0,1040.0,1901.0,1100000.0,1058.0
622,5.0,2.0,1920.0,1920.0,910000.0,474.0
624,2.0,1.0,919.0,2016.0,875000.0,952.0
625,3.0,3.0,1468.0,2019.0,2795000.0,1904.0
627,4.0,2.0,1815.0,2005.0,275000.0,152.0
629,4.0,3.0,2364.0,1970.0,1688888.0,714.0
631,2.0,1.0,925.0,1962.0,435000.0,470.0
632,4.0,2.0,2084.0,1925.0,610000.0,293.0
634,3.0,2.0,1089.0,1952.0,259000.0,238.0
635,3.0,2.0,1848.0,1935.0,1125000.0,609.0
637,2.0,2.0,918.0,1940.0,868000.0,946.0
638,5.0,1.0,2088.0,1920.0,1499000.0,718.0
640,6.0,4.0,2640.0,2009.0,1288000.0,488.0
641,3.0,2.0,2040.0,1940.0,699000.0,343.0
642,2.0,2.0,1300.0,1960.0,899000.0,692.0
643,2.0,2.0,1850.0,1985.0,1150000.0,622.0
646,1.0,1.0,590.0,2022.0,548000.0,929.0
647,3.0,2.0,2245.0,1926.0,1185000.0,528.0
650,2.0,3.0,2552.0,1925.0,1980000.0,776.0
654,1.0,1.0,671.0,2008.0,299000.0,446.0
655,4.0,3.0,1260.0,1915.0,1388000.0,1102.0
656,2.0,2.0,1328.0,2013.0,3695000.0,2782.0
661,2.0,2.0,1300.0,1960.0,579000.0,445.0
662,3.0,2.0,1920.0,1955.0,1190000.0,620.0
664,2.0,2.0,940.0,1994.0,799000.0,850.0
665,1.0,1.0,743.0,1952.0,1125000.0,1514.0
666,2.0,2.0,912.0,1952.0,1685000.0,1848.0
667,1.0,1.0,649.0,1952.0,1235000.0,1903.0
668,1.0,1.0,768.0,1952.0,1273000.0,1658.0
669,6.0,4.0,2820.0,1997.0,859000.0,305.0
670,3.0,2.0,920.0,1990.0,365000.0,397.0
672,3.0,5.0,1920.0,1930.0,1880000.0,979.0
673,7.0,3.0,3388.0,1905.0,785000.0,232.0
677,2.0,2.0,1800.0,1926.0,4500000.0,2500.0
679,3.0,2.0,1200.0,1920.0,725000.0,604.0
681,3.0,1.0,1430.0,1930.0,645000.0,451.0
683,2.0,2.0,885.0,2023.0,995000.0,1124.0
685,2.0,1.0,720.0,1927.0,849000.0,1179.0
686,2.0,2.0,1176.0,1912.0,825000.0,702.0
687,0.0,1.0,600.0,1961.0,695000.0,1158.0
703,3.0,1.0,1248.0,1982.0,738499.0,592.0
706,1.0,1.0,684.0,1984.0,418000.0,611.0
708,1.0,1.0,630.0,1938.0,815000.0,1294.0
709,1.0,1.0,906.0,1957.0,725000.0,800.0
710,3.0,2.0,2000.0,1912.0,1649000.0,825.0
711,3.0,1.0,2350.0,2018.0,699000.0,297.0
712,0.0,2.0,1168.0,2008.0,550000.0,471.0
713,8.0,3.0,3400.0,1960.0,1650000.0,485.0
714,1.0,1.0,681.0,1975.0,329000.0,483.0
715,5.0,3.0,3400.0,1931.0,2798000.0,823.0
716,2.0,2.0,787.0,2023.0,925000.0,1175.0
717,2.0,2.0,1096.0,2024.0,1450000.0,1323.0
718,2.0,2.0,951.0,2024.0,1345000.0,1414.0
720,2.0,2.0,1819.0,2003.0,3295000.0,1811.0
721,0.0,1.0,500.0,1955.0,635000.0,1270.0
723,3.0,3.0,3000.0,1929.0,4995000.0,1665.0
724,6.0,5.0,1810.0,2004.0,1180000.0,652.0
725,1.0,1.0,700.0,1953.0,299000.0,427.0
726,5.0,2.0,3244.0,1930.0,988000.0,305.0
727,3.0,1.0,2191.0,1965.0,669000.0,305.0
728,1.0,1.0,590.0,2022.0,538000.0,912.0
729,2.0,2.0,889.0,2006.0,725000.0,816.0
730,2.0,1.0,815.0,1954.0,275000.0,337.0
731,2.0,2.0,1920.0,1910.0,799000.0,416.0
