,style,street,city,zip_code,beds,full_baths,sqft,year_built,days_on_mls,list_price,price_per_sqft,year,month,day
3847,TOWNHOMES,416  Pacific St,Brooklyn,11217,5.0,4.0,4000.0,1915.0,52,8350000.0,2088.0,2023,11,15
3848,CONDOS,1  Central Park,Manhattan,10019,1.0,2.0,1279.0,1907.0,52,3950000.0,3088.0,2023,11,15
3849,COOP,5700  Arlington Ave,Bronx,10471,1.0,1.0,,1961.0,52,310000.0,,2023,11,15
3850,COOP,205 E 63rd St,Manhattan,10065,0.0,1.0,600.0,1963.0,52,595000.0,992.0,2023,11,15
3851,MULTI_FAMILY,2931  Brighton 8th St,Brooklyn,11235,8.0,5.0,2507.0,1940.0,52,2600000.0,1037.0,2023,11,15
3852,COOP,5900  Arlington Ave,Bronx,10471,2.0,1.0,1050.0,1962.0,52,374900.0,357.0,2023,11,15
3853,COOP,8425  118th St,Kew Gardens,11415,1.0,1.0,,1950.0,52,155000.0,,2023,11,15
3854,SINGLE_FAMILY,57  Bay 10th St,Brooklyn,11228,3.0,1.0,1660.0,1930.0,52,1280000.0,771.0,2023,11,15
3855,SINGLE_FAMILY,2064  Ryer Ave,Bronx,10457,10.0,3.0,,1952.0,52,1100000.0,,2023,11,15
3856,CONDOS,162-10  71st Ave,Fresh Meadows,11365,1.0,1.0,621.0,2008.0,52,428000.0,689.0,2023,11,15
3857,SINGLE_FAMILY,166-21  Goethals Ave,Jamaica,11432,4.0,4.0,3223.0,2012.0,52,2095000.0,650.0,2023,11,15
3858,TOWNHOMES,67101  Dartmouth St,Forest Hills,11375,3.0,1.0,1224.0,1945.0,52,1049000.0,857.0,2023,11,15
3859,TOWNHOMES,2806  Richmond Ter,Staten Island,10303,3.0,1.0,1344.0,1992.0,52,315000.0,234.0,2023,11,15
3860,CONDOS,449  Medina St,Staten Island,10306,2.0,1.0,939.0,1988.0,52,450000.0,479.0,2023,11,15
3861,CONDOS,133  Beach 116th St,Queens,11694,2.0,2.0,1132.0,2018.0,52,750000.0,663.0,2023,11,15
3862,CONDOS,215 E 19th St,New York,10003,0.0,1.0,682.0,1920.0,52,1245000.0,1826.0,2023,11,15
3863,SINGLE_FAMILY,454  Graham Ave,Brooklyn,11211,7.0,6.0,9900.0,1920.0,52,6500000.0,657.0,2023,11,15
3864,CONDOS,630  First Ave,New York,10016,1.0,2.0,970.0,1984.0,52,1075000.0,1108.0,2023,11,15
3865,SINGLE_FAMILY,243  Brighton Beach Ave,Brooklyn,11235,4.0,3.0,3090.0,1929.0,52,2500000.0,809.0,2023,11,15
3866,CONDOS,39  Argyle Rd,Brooklyn,11218,2.0,1.0,715.0,2023.0,52,625000.0,874.0,2023,11,15
3867,TOWNHOMES,153 E 30th St,New York,10016,5.0,5.0,5500.0,1900.0,52,9450000.0,1718.0,2023,11,15
3868,COOP,111 E 56th St,New York,10022,0.0,1.0,350.0,1927.0,52,315000.0,900.0,2023,11,15
3869,COOP,239 E 79th St,New York,10075,2.0,2.0,,1957.0,52,2000000.0,,2023,11,15
3870,CONDOS,306  Mott St,Manhattan,10012,4.0,4.0,2670.0,1988.0,52,5500000.0,2060.0,2023,11,15
3871,MULTI_FAMILY,1604  Van Buren St,Bronx,10460,9.0,3.0,2700.0,1901.0,52,1045000.0,387.0,2023,11,15
3872,MULTI_FAMILY,728  124th St,Flushing,11356,4.0,3.0,,2005.0,52,1198000.0,,2023,11,15
3873,CONDOS,71-05  Sutton Pl,Fresh Meadows,11365,3.0,2.0,1000.0,1986.0,52,685000.0,685.0,2023,11,15
3874,COOP,9902  3rd Ave,Brooklyn,11209,1.0,1.0,650.0,1952.0,52,315000.0,485.0,2023,11,15
3875,MULTI_FAMILY,5370  Metropolitan Ave,Flushing,11385,6.0,6.0,3222.0,1952.0,52,1250000.0,388.0,2023,11,15
3876,COOP,5900  Arlington Ave,Bronx,10471,2.0,1.0,1050.0,1960.0,52,374900.0,357.0,2023,11,15
